IID,prs_basal_metabolic_rate,prs_power_potential,prs_stress_fracture_risk,prs_total_protein,prs_englyst_dietary_fibre,prs_savoury_snack_consumers,prs_overall_bone_mineral_density,prs_reduced_heart_beat_response_to_exercise,prs_endurance,prs_aversion_to_exercise,prs_total_fattty_acids,prs_potential_for_lean_body_mass
9417.23andme,-2.10200147e-05,-1.29933468e-05,-0.000553438189,-0.000110082497,3.88732415e-05,-9.79686229e-05,2.39069805e-05,0.000400767519,3.08457421e-06,-0.000121180469,-0.000124868883,-1.18797618e-05
9418.23andme,-1.56136459e-05,-2.08999479e-05,-0.000556248912,-0.000118111044,6.60825949e-05,-8.94259947e-05,3.9928817e-05,0.00038404068,-8.87387382e-07,-0.000141248469,-9.22536024e-05,-9.10185563e-06
9421.23andme,-2.08485743e-05,-1.952022e-05,-0.000571819931,-0.00011280104,7.68496035e-05,-9.35424999e-05,2.74847518e-05,0.000418182945,-3.38123393e-06,-0.00015353985,-0.00011897886,-1.37364523e-05
9422.ancestry,-1.95069696e-05,-2.00765011e-05,-0.000538252686,-0.000124763449,8.54348582e-05,-9.19901999e-05,0.000119136607,0.000397908313,1.27431066e-07,-0.000129486302,-6.93194001e-05,-1.14187522e-05
9424.23andme,-1.6849786e-05,-1.49009805e-05,-0.000557907417,-0.000138791812,3.75922427e-05,-8.5680957e-05,-4.70239136e-05,0.000390138481,-4.10824936e-06,-0.000143582081,-0.000101179053,-1.23597151e-05
9427.23andme,-1.52778283e-05,-1.38583912e-05,-0.000541916957,-0.00011065828,6.91676712e-05,-8.96567481e-05,-4.8282176e-06,0.000400635032,-1.33502009e-07,-0.000139702116,-0.000108531617,-7.65889596e-06
9428.23andme,-1.41155107e-05,-1.84568986e-05,-0.000560749749,-0.000112624196,6.68523916e-05,-8.59662444e-05,-7.59900935e-06,0.00039020644,-7.5722159e-07,-0.000140137455,-0.000117752835,-6.53720848e-06
9430.23andme,-1.84816492e-05,-1.5391884e-05,-0.000557483884,-0.000111851139,6.78932279e-05,-0.000102266552,5.00502899e-05,0.000409668092,-3.72640351e-07,-0.000132608725,-0.000113716756,-9.04457151e-06
9430.ancestry,-1.34847533e-05,-1.28225887e-05,-0.000545571389,-0.000110738557,7.10579479e-05,-9.87481689e-05,0.00010148374,0.000399013198,1.54656353e-06,-0.000130450696,-0.00012542185,-4.6285573e-06
9436.23andme,-1.70145425e-05,-2.08752618e-05,-0.000528247037,-0.000126712673,9.23211029e-05,-9.07146833e-05,7.29896552e-05,0.000396520411,-4.2059877e-06,-0.000134181389,-0.000148920003,-7.10393649e-06
9437.ancestry,-1.99993594e-05,-2.24631872e-05,-0.000546026569,-0.000104094658,7.72106616e-05,-9.95519768e-05,2.20024357e-05,0.000382962086,-2.49672307e-06,-0.000152235677,-8.57056872e-05,-1.18645238e-05
9439.23andme,-1.71610314e-05,-2.25270221e-05,-0.000550666345,-8.70327165e-05,5.59810324e-05,-9.26052163e-05,8.41514233e-05,0.000402234392,-3.24203995e-06,-0.000157195939,-0.000110199869,-8.71405536e-06
9440.23andme,-1.83304706e-05,-2.28923394e-05,-0.000545797218,-0.000118894112,8.76131231e-05,-9.09762229e-05,3.3405098e-05,0.000389442146,1.00172142e-06,-0.000144043618,-0.000153727002,-8.94903261e-06
9443.ftdna-illumina,-9.58730534e-06,-1.77823793e-05,-0.000558929909,-0.000126555373,9.04680667e-05,-8.82787033e-05,0.000108242351,0.000410240696,-3.73050867e-06,-0.000149017053,-9.81531273e-05,-5.41429141e-07
9444.23andme,-1.52242374e-05,-2.43542263e-05,-0.00054616163,-0.000125335753,8.18372454e-05,-8.71133407e-05,9.79042437e-05,0.000393953387,3.02596656e-06,-0.000140812754,-0.000121399366,-7.23894396e-06
9445.23andme,-1.01329806e-05,-2.01100333e-05,-0.00056985637,-0.000102732686,5.72386695e-05,-9.38316139e-05,7.07902695e-05,0.00038916836,-7.41160531e-06,-0.00014734443,-0.000129386263,-3.9100719e-06
9446.23andme,-1.6729194e-05,-2.07544805e-05,-0.000536558363,-0.000112268666,7.49110457e-05,-8.70467078e-05,7.5552307e-05,0.000388350525,-3.48629378e-06,-0.000150838268,-0.00012664652,-7.52213066e-06
9447.23andme,-1.12390077e-05,-1.74548027e-05,-0.000562922247,-0.000125720441,7.70461686e-05,-0.000101458135,9.07565908e-05,0.000391891908,-3.38314618e-06,-0.000143797606,-0.000105680234,-4.51228761e-06
9450.23andme,-1.41849705e-05,-1.65034203e-05,-0.000542226712,-0.000110858532,9.84322862e-05,-9.35479786e-05,4.52683378e-05,0.000393166728,-1.7192069e-06,-0.000142585929,-7.24162746e-05,-6.40635726e-06
9453.23andme,-1.6706891e-05,-1.73400011e-05,-0.000540784338,-0.000102088127,5.75591557e-05,-9.41382113e-05,6.08614569e-05,0.000399151714,-1.99324657e-06,-0.000135283238,-0.000112164283,-9.80714972e-06
9454.23andme,-1.42253889e-05,-1.92983461e-05,-0.000546114412,-0.00012543529,5.51656118e-05,-0.000100260931,8.97638811e-05,0.000391091609,-3.93675893e-06,-0.000142951383,-0.000103263432,-5.30357226e-06
9457.23andme,-1.71689898e-05,-1.47000712e-05,-0.000568587988,-0.000112117207,7.43654604e-05,-8.11325152e-05,4.89525381e-05,0.000412092353,-1.41163342e-06,-0.00014830374,-0.000138049328,-9.4842376e-06
9460.23andme,-1.54290199e-05,-1.78086987e-05,-0.000555265973,-0.000112690599,6.99084808e-05,-9.35339964e-05,5.75035447e-05,0.000397674814,-1.66088938e-06,-0.000143183772,-0.000109704552,-7.51278756e-06
9462.23andme,-1.8013278e-05,-1.79917105e-05,-0.00055161358,-0.000106961232,5.94836342e-05,-0.000100813458,2.98011048e-05,0.000391937438,4.76342018e-07,-0.000151153772,-8.5708009e-05,-9.72657141e-06
9465.ancestry,-1.22326759e-05,-1.97455526e-05,-0.000501367103,-0.000107742154,7.93443145e-05,-9.18714734e-05,2.83460443e-05,0.00039994887,2.45384827e-06,-0.0001441003,-0.000121948577,-6.48376376e-06
9470.23andme,-1.67165584e-05,-2.1850506e-05,-0.000567745227,-0.000101439307,8.1386186e-05,-8.85422067e-05,-4.82964636e-05,0.00040626382,-1.58387361e-06,-0.000160175999,-0.000132416532,-7.0783844e-06
9471.ancestry,-1.24961887e-05,-1.52988795e-05,-0.000549767283,-0.000103572344,8.34699226e-05,-9.23328622e-05,0.000103024571,0.000421017252,-3.324368e-06,-0.000168067941,-0.000105299,-5.17191759e-06
9477.23andme,-1.87292691e-05,-2.04265885e-05,-0.000554719335,-0.00011498228,0.000102624252,-9.56874597e-05,6.68075143e-05,0.000385528891,4.59408484e-06,-0.000143024619,-0.000111189457,-1.00442954e-05
9478.23andme,-1.96731945e-05,-2.20927965e-05,-0.00055541788,-0.000129762823,5.99715538e-05,-9.76370932e-05,7.91873185e-05,0.000408136199,-2.61294996e-06,-0.000134733437,-0.000110039727,-1.05844739e-05
9480.ancestry,-1.64843102e-05,-1.67756212e-05,-0.000561951614,-0.000121913394,7.02310795e-05,-9.76858821e-05,3.7793886e-05,0.000393974364,9.28164395e-07,-0.000147865607,-0.00013246311,-9.07651947e-06
9485.23andme,-1.21135789e-05,-1.86484506e-05,-0.000550158086,-0.000113226327,7.72895498e-05,-0.000109056785,2.39300506e-05,0.000403570144,6.16509372e-07,-0.000132134657,-0.000112846693,-4.60915914e-06
9486.23andme,-1.21025146e-05,-1.06400093e-05,-0.000576188066,-9.85765207e-05,5.86278429e-05,-0.000102919317,4.48164167e-05,0.000380174566,-9.98184764e-06,-0.000166640055,-0.000194202244,-3.70757611e-06
9487.23andme,-1.50073552e-05,-1.87951514e-05,-0.000560729961,-0.000110317986,4.47740741e-05,-9.81749326e-05,8.44939004e-05,0.000405646007,-1.76326108e-07,-0.00015525036,-6.95700456e-05,-7.04430891e-06
9488.23andme,-1.46952538e-05,-1.78982857e-05,-0.000537554379,-9.49839319e-05,6.23647287e-05,-9.23332119e-05,0.000111953387,0.000397928113,-1.51703695e-06,-0.000147668692,-0.000130640893,-5.62070009e-06
9489.23andme,-1.67066135e-05,-2.04808971e-05,-0.000553351055,-0.000122710814,7.47187956e-05,-8.05874756e-05,5.82682914e-05,0.000399757717,-1.08682153e-06,-0.000137082255,-2.13361864e-05,-7.37460785e-06
9489.ancestry,-1.45463646e-05,-1.9531046e-05,-0.000561288157,-0.000126610195,7.08588407e-05,-8.90898561e-05,3.1009109e-05,0.000396526093,-4.02873686e-06,-0.000141237511,-0.000122368072,-7.54743093e-06
9496.23andme,-9.14727442e-06,-1.96619084e-05,-0.00056135837,-0.000113467569,6.39728344e-05,-9.96132867e-05,8.08236276e-06,0.000405767301,-6.25502123e-06,-0.000129932544,-0.000124871878,-1.84399632e-06
